,年化收益率,年化超额收益率,夏普比率,基准夏普比率,胜率,信息比率,最大回撤,基准最大回撤
2007,205.70 ,26.24 ,6.44 ,6.23 ,57.14 ,15.63 ,26.22 ,2.68 
2008,-57.12 ,5.89 ,-3.51 ,-3.52 ,60.78 ,16.84 ,64.57 ,63.93 
2009,115.56 ,2.77 ,6.24 ,5.36 ,44.00 ,-0.48 ,11.82 ,1.09 
2010,7.06 ,-2.29 ,0.83 ,0.99 ,50.00 ,-6.70 ,25.01 ,7.06 
2011,-24.60 ,9.74 ,-2.90 ,-3.68 ,58.00 ,27.89 ,32.74 ,37.33 
2012,4.93 ,0.14 ,0.70 ,0.66 ,48.98 ,-1.54 ,22.63 ,15.93 
2013,14.81 ,-1.84 ,1.72 ,1.85 ,38.00 ,-3.50 ,15.78 ,5.62 
2014,56.34 ,16.87 ,5.79 ,4.29 ,57.69 ,22.83 ,6.86 ,3.65 
2015,36.54 ,-4.29 ,2.01 ,2.15 ,37.25 ,-5.38 ,46.26 ,34.02 
2016,7.39 ,12.06 ,0.96 ,-0.29 ,63.27 ,28.77 ,15.90 ,5.85 
2017,1.29 ,3.18 ,0.24 ,-0.29 ,52.00 ,9.19 ,9.13 ,6.84 
2018,-23.64 ,8.19 ,-2.67 ,-3.43 ,64.44 ,25.42 ,30.85 ,31.83 
